field_id,mean_ndvi,median_ndvi,valid_pixel_count,total_pixel_count,coverage_fraction
STORY-01,0.9365310014183283,0.9498211269526537,1338,1338,1.0
STORY-02,0.9426039875644808,1.0,5023,5023,1.0
STORY-03,1.0,1.0,7531,7531,1.0
STORY-04,0.9053650379122536,0.9737712273145345,1580,1580,1.0
STORY-05,0.7612902362001693,0.763157894736842,3095,3095,1.0
STORY-06,0.9832827522482942,1.0,1489,1489,1.0
STORY-07,0.9999150874439174,1.0,3576,3576,1.0
STORY-08,0.8766751477209969,0.9093484419263458,2443,2443,1.0
STORY-09,0.8100790963918512,0.8311816411719863,758,758,1.0
STORY-10,0.9856972047579693,1.0,6224,6224,1.0
STORY-11,0.953669788716813,1.0,1331,1331,1.0
STORY-12,0.9846905615364216,1.0,3128,3128,1.0
STORY-13,0.9635810110031409,1.0,2244,2244,1.0
STORY-14,0.9991744736171946,1.0,2933,2933,1.0
STORY-15,1.0,1.0,1949,1949,1.0
STORY-16,0.9995749202975558,1.0,4705,4705,1.0
STORY-17,0.7721275111779015,0.7411544242927596,2966,2966,1.0
STORY-18,0.9997096367914793,1.0,1751,1751,1.0
STORY-19,0.9999423612331257,1.0,3518,3518,1.0
STORY-20,0.9999809979005079,1.0,4483,4483,1.0
STORY-21,0.9999960361829281,1.0,3203,3203,1.0
STORY-22,0.8722475925019512,0.972094871324653,1664,1664,1.0
STORY-23,0.8713939808362768,1.0,6189,6189,1.0
STORY-24,0.9939716096541693,1.0,2971,2971,1.0
STORY-25,0.9334990465974735,0.9830687641093633,2640,2640,1.0
